metric,value
demand_calibration_set,73.0
calibration_ks_p,0.959
mc_ready_deals,32.0
realized_edge_mean_pct,2.49
portfolio_edge_mean_pct,7.7
portfolio_with_break_mean_pct,1.94
portfolio_with_break_p05_pct,-2.62
