decision_prior_power,validation_rows,validation_years,balanced_accuracy,macro_f1
0.5,250,"2022,2023,2024,2025,2026",0.3811111111111111,0.3529812184782945
0.6,250,"2022,2023,2024,2025,2026",0.4022222222222222,0.3525261956634506
1.0,250,"2022,2023,2024,2025,2026",0.45777777777777784,0.34809447128287707
0.7,250,"2022,2023,2024,2025,2026",0.40944444444444444,0.3467548653053398
0.9,250,"2022,2023,2024,2025,2026",0.4694444444444444,0.3434781727123421
0.8,250,"2022,2023,2024,2025,2026",0.43999999999999995,0.343317230273752
0.0,250,"2022,2023,2024,2025,2026",0.3333333333333333,0.29629629629629634
0.25,250,"2022,2023,2024,2025,2026",0.3333333333333333,0.29629629629629634
