event_id,p_completed,p_terminated,p_withdrawn,outcome_probability_source,outcome_match_source,actual_deal_status_raw,actual_outcome_label,outcome_train_n,outcome_train_completed,outcome_train_terminated,outcome_train_withdrawn,outcome_nb_categorical_alpha,outcome_nb_prior_strength,outcome_nb_variance_shrinkage,outcome_nb_likelihood_weight,outcome_nb_prior_blend,outcome_nb_inner_validation_brier
E000022_20140713_URS_Corp__AECOM,0.8488737902744472,0.1152958842260235,0.0358303254995293,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000023_20070501_Dow_Jones___Co_Inc__TFCF_Corp,0.8451062603396378,0.1204817130452785,0.0344120266150837,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000024_20161117_Western_Refining_Inc__Andeavor,0.8497091554868609,0.1135212637027785,0.0367695808103606,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000025_20061006_Global_Signal_Inc__Crown_Castle_Inc,0.8446765477339322,0.1209717431664091,0.0343517090996586,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000026_20180502_MTGE_Investment_Corp__Annaly_Capital_Management_Inc,0.8504133437327319,0.1116020130989496,0.0379846431683184,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000027_20150122_City_National_Corp_CA__Royal_Bank_of_Canada,0.8556837183398082,0.1097643166389494,0.0345519650212424,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000028_20190402_AmeriGas_Partners_LP__UGI_Corp,0.8505254435400948,0.1107747594999235,0.0386997969599816,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000029_20120827_Hudson_City_Bancorp_Inc__M_T_Bank_Corp,0.8546336995176824,0.1105173989556411,0.0348489015266764,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000030_20180906_LaSalle_Hotel_Properties__Pebblebrook_Hotel_Trust,0.8506332943707047,0.1115021381593624,0.037864567469933,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000031_20180129_KapStone_Paper_and_Packaging_Corp__Westrock_Co,0.850687348955746,0.1114706761484846,0.0378419748957692,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000032_20170307_TerraForm_Power_Inc__Brookfield_Corp,0.8516396403489301,0.1134353283551155,0.0349250312959543,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000033_20250515_Foot_Locker_Inc__Dick_s_Sporting_Goods_Inc,0.8504252070568613,0.1058565793846144,0.0437182135585242,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000034_20070219_Florida_Rock_Industries_Inc__Vulcan_Materials_Co,0.8458546159061678,0.1197502811552722,0.03439510293856,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000036_20260224_Thermon_Group_Holdings_Inc__CECO_Environmental_Corp,0.8510150850225462,0.1049534524378436,0.0440314625396102,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000037_20090420_PepsiAmericas_Inc__PepsiCo_Inc,0.8473829077354148,0.1180672673883707,0.0345498248762145,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000038_20100415_Mariner_Energy_Inc__Apache_Corp,0.8480479800201193,0.1172841176377786,0.0346679023421021,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000039_20070604_Solectron_Corp__Flex_Ltd,0.8369420930202623,0.1284891302755922,0.0345687767041454,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000040_20170504_Capital_Bank_Financial_Corp__First_Horizon_Corp,0.8573341516467922,0.1067444016135922,0.0359214467396155,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000041_20181009_Antero_Midstream_Partners_LP__Antero_Midstream_Corp,0.8398167412331657,0.1189895195957412,0.041193739171093,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000042_20140113_Foster_Wheeler_AG__Amec_Foster_Wheeler_Ltd,0.8064355458087524,0.1418204463657971,0.0517440078254505,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000043_20181109_Finisar_Corp__Coherent_Corp,0.8528469100747486,0.1100664948245171,0.0370865951007344,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000044_20060905_Veritas_DGC_Inc__Viridien,0.8476494280199935,0.1175322035392186,0.0348183684407879,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
