scope,trade_count,active_day_sharpe,calendar_day_sharpe,active_day_sortino,calendar_day_sortino,calendar_max_drawdown_%
Completion only,18,1.0772760752065411,0.4468433169567082,3.0657653528588127,1.273388500263716,-15.211151868420043
All tradable,18,1.0772760752065411,0.4468433169567082,3.0657653528588127,1.273388500263716,-15.211151868420043
