announce_year,rows,tuned_nb_brier_score,untuned_nb_brier_score,prior_brier_score,tuned_brier_skill_score,untuned_brier_skill_score
2016,113,0.30466589345862277,0.44780658818413865,0.3007685699829353,-0.012957881456525211,-0.48887428034633373
2017,105,0.2777221159041669,0.3784437439632778,0.29262303122629746,0.050921881506336586,-0.2932807864689626
2018,94,0.2715865349310759,0.3901817498141159,0.27067198983731305,-0.003378794733479795,-0.44152983856450745
2019,71,0.2546802173448915,0.38298221717836844,0.26378383415675677,0.03451165550370816,-0.45187902967085014
2020,63,0.379011352397795,0.5337011072424892,0.37756062037355737,-0.003842381715556842,-0.413550774215931
2021,116,0.30479514107606476,0.4433242615492785,0.32201434555022346,0.053473407977325915,-0.37672208606661206
2022,60,0.33716177324830365,0.5645712787384842,0.3463787793437679,0.02660961538384743,-0.629924557757531
2023,51,0.49869388657234415,0.6556742884208111,0.5300622084062256,0.05917856684821732,-0.2369761096386629
2024,57,0.36125052340682834,0.5919555291036322,0.3911071426370031,0.07633872147890042,-0.5135380170058461
2025,69,0.1788824084968781,0.42074015820087685,0.1761147990186167,-0.01571480360357924,-1.3890108074131882
2026,13,0.356836330792361,0.20959664349310195,0.3965220093034515,0.10008442805181017,0.47141233380389425
