date,scope,active_trade_count,active_capacity_trade_count,active_notional,equal_weight_return,capacity_weighted_return,daily_return_%,cumulative_return_%
2007-02-20,all_tradable,1,1,10059587.0375,0.0,0.0,0.0,0.0
2007-02-21,all_tradable,1,1,10059587.0375,0.0088274125874125,0.0088274125874125,0.88274125874125,0.88274125874125
2007-02-22,all_tradable,1,1,10059587.0375,-0.0036363636363637,-0.0036363636363637,-0.36363636363637003,0.5191048951048801
2007-02-23,all_tradable,1,1,10059587.0375,-0.0010047552447552,-0.0010047552447552,-0.10047552447552,0.41862937062936006
2007-02-26,all_tradable,1,1,10059587.0375,0.003097062937063,0.003097062937063,0.3097062937063,0.72833566433566
2007-02-27,all_tradable,1,1,10059587.0375,0.0095457342657341,0.0095457342657341,0.9545734265734099,1.68290909090907
2007-02-28,all_tradable,1,1,10059587.0375,0.0016481118881119,0.0016481118881119,0.16481118881119,1.84772027972026
2007-03-01,all_tradable,1,1,10059587.0375,0.0011535664335663,0.0011535664335663,0.11535664335663,1.96307692307689
2007-03-02,all_tradable,1,1,10059587.0375,0.000700979020979,0.000700979020979,0.0700979020979,2.03317482517479
2007-03-05,all_tradable,1,1,10059587.0375,0.0010724475524476,0.0010724475524476,0.10724475524476,2.14041958041955
2007-03-06,all_tradable,1,1,10059587.0375,-0.0040699300699299,-0.0040699300699299,-0.40699300699298996,1.7334265734265601
2007-03-07,all_tradable,1,1,10059587.0375,0.0021090909090907,0.0021090909090907,0.21090909090907,1.94433566433563
2007-03-08,all_tradable,1,1,10059587.0375,-0.0014903496503495,-0.0014903496503495,-0.14903496503494998,1.7953006993006801
2007-03-09,all_tradable,1,1,10059587.0375,0.000878881118881,0.000878881118881,0.0878881118881,1.8831888111887802
2007-03-12,all_tradable,1,1,10059587.0375,0.0001806993006993,0.0001806993006993,0.01806993006993,1.9012587412587105
2007-03-13,all_tradable,1,1,10059587.0375,0.0060995804195803,0.0060995804195803,0.6099580419580299,2.51121678321674
2007-03-14,all_tradable,1,1,10059587.0375,0.0016783216783217,0.0016783216783217,0.16783216783217,2.67904895104891
2007-03-15,all_tradable,1,1,10059587.0375,-0.0037700699300699,-0.0037700699300699,-0.37700699300699,2.3020419580419205
2007-03-16,all_tradable,1,1,10059587.0375,0.0004305804195803,0.0004305804195803,0.04305804195803,2.3450999999999502
2007-03-19,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-03-20,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-03-21,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-03-22,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-03-23,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-03-26,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-03-27,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-03-28,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-03-29,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-03-30,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-02,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-03,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-04,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-05,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-06,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-09,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-10,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-11,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-12,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-13,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-16,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-17,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-18,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-19,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
2007-04-20,all_tradable,0,0,0.0,0.0,0.0,0.0,2.3450999999999502
