actual_outcome_label,rows,avg_p_completed,avg_p_terminated,avg_p_withdrawn
completed,667,0.8037588651479043,0.13422622773791074,0.06201490711418506
terminated,69,0.7856890726950428,0.15391214153126606,0.060398785773691184
withdrawn,76,0.7317602192692352,0.16382039406955026,0.10441938666121456
