event_id,close_date,signal,actual_outcome,return_source,notional,event_return,portfolio_return_contribution,target,event_number,event_return_%,portfolio_return_contribution_%,cumulative_return_%
E000072_20070214_TALX_Corp__Equifax_Inc,2007-03-16,REVERSE,completed,observed_settlement_reconciled,10059587.0375,0.0234509999999995,0.0234509999999995,TALX Corp,1,2.34509999999995,2.34509999999995,2.34509999999995
E000070_20070603_Digene_Corp__QIAGEN_NV,2007-07-03,ENTER,completed,market_to_deadline_fallback,25668799.8325,0.0748572444444439,0.0748572444444439,Digene Corp,2,7.48572444444439,7.48572444444439,9.830824444444339
E000122_20070720_Oak_Hill_Financial_Inc__WesBanco_Inc,2007-08-17,ENTER,completed,observed_settlement_reconciled,635247.361,0.04474300000000012,0.04474300000000012,Oak Hill Financial Inc,3,4.474300000000012,4.474300000000012,14.30512444444435
E000037_20090420_PepsiAmericas_Inc__PepsiCo_Inc,2009-05-20,ENTER,completed,observed_settlement_reconciled,18515498.1318,0.1557179999999997,0.1557179999999997,PepsiAmericas Inc,4,15.57179999999997,15.57179999999997,29.87692444444432
E000100_20110726_S1_Corp__ACI_Worldwide_Inc,2011-08-25,ENTER,completed,market_to_deadline_fallback,19657109.7974,0.1044518201284796,0.1044518201284796,S1 Corp,5,10.44518201284796,10.44518201284796,40.32210645729228
E000083_20120723_GeoEye_Inc__DigitalGlobe_Inc,2012-08-22,REVERSE,completed,observed_settlement_reconciled,11773587.83,0.0506380000000002,0.0506380000000002,GeoEye Inc,6,5.06380000000002,5.06380000000002,45.3859064572923
E000046_20140321_LIN_Media_LLC__Media_General_Inc,2014-04-17,REVERSE,completed,observed_settlement_reconciled,24945732.912,0.020922999999999702,0.020922999999999702,LIN Media LLC,7,2.09229999999997,2.09229999999997,47.47820645729227
E000150_20140805_Peoples_Federal_Bancshares_Inc__Independent_Bank_Corp,2014-09-04,ENTER,completed,market_to_deadline_fallback,191908.332,0.0219587576374741,0.0219587576374741,Peoples Federal Bancshares,8,2.1958757637474102,2.1958757637474102,49.67408222103968
E000005_20160125_Johnson_Controls_Inc__Johnson_Controls_International_plc,2016-02-24,REVERSE,completed,observed_settlement_reconciled,210397582.1745,0.0018569999999998995,0.0017584870181335966,Johnson Controls Inc,9,0.18569999999998996,0.17584870181335965,49.84993092285304
E000061_20150817_National_Penn_Bancshares_Inc__Truist_Financial_Corp,2016-03-30,ENTER,completed,observed_settlement_reconciled,11786776.3502,0.02660999999999986,0.02191726252969542,National Penn Bancshares I,10,2.660999999999986,2.191726252969542,52.041657175822586
E000184_20160426_First_Clover_Leaf_Financial_Corp__First_Mid_Bancshares_Inc,2016-05-26,ENTER,completed,market_to_deadline_fallback,36317.936,0.0125563139931741,0.0125563139931741,First Clover Leaf Financia,11,1.25563139931741,1.25563139931741,53.297288575139994
E000024_20161117_Western_Refining_Inc__Andeavor,2017-05-30,REVERSE,completed,observed_settlement_reconciled,152907567.096,0.007730000000000042,0.007730000000000042,Western Refining Inc,12,0.7730000000000042,0.7730000000000042,54.07028857514
E000068_20181119_Resolute_Energy_Corp__Cimarex_Energy_Co,2018-12-19,REVERSE,completed,observed_settlement_reconciled,28587165.007,0.0008510000000003029,0.0008510000000003029,Resolute Energy Corp,13,0.08510000000003029,0.08510000000003029,54.15538857514003
E000028_20190402_AmeriGas_Partners_LP__UGI_Corp,2019-05-02,REVERSE,completed,observed_settlement_reconciled,25072300.252,0.01983100000000001,0.01983100000000001,AmeriGas Partners LP,14,1.9831000000000008,1.9831000000000008,56.13848857514003
E000078_20201005_Eidos_Therapeutics_Inc__Bridgebio_Pharma_Inc,2020-11-04,REVERSE,completed,observed_settlement_reconciled,17189831.425,0.016591999999999836,0.005442513672393708,Eidos Therapeutics Inc,15,1.6591999999999836,0.5442513672393708,56.6827399423794
E000103_20210729_Misonix_Inc__Bioventus_Inc,2021-08-27,ENTER,completed,observed_settlement_reconciled,1946932.0464,0.0522450000000002,0.0027371459013353465,Misonix Inc,16,5.22450000000002,0.27371459013353466,56.956454532512936
E000075_20200806_Sirius_International_Insurance_Group_Ltd__SiriusPoint_Ltd,2021-09-10,REVERSE,completed,observed_settlement_reconciled,35214939.637,0.264613000000001,0.2569100881557926,Sirius International Insur,17,26.461300000000097,25.69100881557926,82.6474633480922
E000249_20240307_Superior_Drilling_Products_Inc__Drilling_Tools_International_Corp,2024-04-05,ENTER,completed,observed_settlement_reconciled,114338.5944,0.1402509999999999,0.1402509999999999,Superior Drilling Products,18,14.025099999999991,14.025099999999991,96.6725633480922
