actual,predicted
0.306,0.37269205533593264
0.011000000000000001,0.34987730395056094
0.39,0.22243764417225326
0.011000000000000001,0.3085462038717483
0.2073,0.30297268726464316
0.973,0.65
0.1577,0.3360728809118302
0.77,0.22292207105201184
0.968,0.34401474055509146
0.857,0.35000000000000003
0.033,0.30460468054443557
0.08900000000000001,0.35000000000000003
0.22,0.19487141917720333
0.28,0.3146784579071597
0.0121,0.46382746945247644
0.5842,0.3042343001910815
0.166,0.38108082705856716
0.812,0.2
0.41100000000000003,0.14
0.08,0.31748323818043395
0.631,0.303769209039548
0.049,0.407337588421823
0.03,0.30550884934419437
0.506,0.32333617325935204
1.0,0.37984572585344906
0.7909999999999999,0.17991792992901307
0.6829999999999999,0.3089814106685633
0.37,0.2504573755157265
0.815,0.3157175710287589
0.8993000000000001,0.30032830690342793
0.826,0.44
0.11900000000000001,0.40474255799808845
0.738,0.37700384850314905
0.961,0.3103487278156996
0.863,0.3117318421910662
0.6536,0.5800000000000001
0.479,0.3033526957199961
0.2632,0.4400153767298821
0.6659999999999999,0.3139124588691569
0.1956,0.40056447405727247
0.86,0.3098201103043842
0.7119,0.16005170202269361
0.3011,0.3008179678428646
0.105,0.30419010504573624
0.4397,0.2813271996426976
0.053,0.3654004935671745
